1.00000|1.00000|1.23588,1.18696,-1.67449
2.00000|1.00000|0.48357,-1.85401,-0.40819
3.00000|2.00000|0.38776,0.79887,0.26898
4.00000|2.00000|1.14297,0.08127,-0.24073
5.00000|2.00000|1.41230,1.22714,-0.42992
6.00000|2.00000|1.66457,0.72906,0.37799
7.00000|2.00000|-0.10015,1.07982,1.40707
8.00000|3.00000|-0.40848,-1.69002,-0.05888
9.00000|2.00000|-1.42917,-1.44009,-0.36339
10.00000|1.00000|0.74469,1.73372,1.13592
11.00000|2.00000|-0.87023,1.63737,1.51970
12.00000|1.00000|1.17614,1.28822,-0.89574
13.00000|1.00000|0.59999,1.19650,-0.27816
14.00000|1.00000|-1.58324,-1.12966,-0.26465
15.00000|1.00000|0.98852,-1.60527,-0.20374
16.00000|3.00000|-0.98818,1.18015,0.04907
17.00000|2.00000|0.02852,-1.85457,1.24988
18.00000|3.00000|-0.80047,1.40554,0.01803
19.00000|2.00000|0.47566,-2.72410,-0.75912
20.00000|1.00000|0.06773,0.22995,0.12845
21.00000|3.00000|-1.11479,0.39033,1.20056
22.00000|1.00000|-1.01323,1.26037,0.77816
23.00000|2.00000|-0.64087,2.36439,0.85591
24.00000|3.00000|1.98016,0.68971,-1.55941
25.00000|3.00000|-1.92161,-0.67468,-2.46673
26.00000|2.00000|1.12855,1.18031,-1.25131
27.00000|1.00000|-1.27395,0.13544,-0.65493
28.00000|3.00000|-0.73516,0.59888,0.44809
29.00000|3.00000|-0.96279,1.70832,-1.61539
30.00000|2.00000|0.29540,0.63361,-0.26030
31.00000|1.00000|-1.06679,1.37765,1.16492
32.00000|3.00000|1.39492,0.85242,0.75222
33.00000|2.00000|-1.07703,0.89710,0.58830
34.00000|2.00000|-1.17140,0.90819,-2.01518
35.00000|1.00000|-1.76200,-0.82462,-0.84309
36.00000|1.00000|-0.82495,1.54247,0.28318
37.00000|3.00000|-0.21440,-1.28627,-0.51116
38.00000|1.00000|1.04644,0.62392,0.32243
39.00000|1.00000|-3.28493,0.08006,-1.08315
40.00000|3.00000|0.91164,-1.71066,-1.97096
41.00000|3.00000|-0.81466,-0.88782,-1.25218
42.00000|2.00000|-2.21381,-0.51424,-1.12418
43.00000|3.00000|-1.24405,0.54025,-1.25964
44.00000|3.00000|1.47581,0.53097,0.81508
45.00000|1.00000|2.36940,-0.11079,-0.27255
46.00000|1.00000|-0.29422,2.57548,-0.53352
